open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
179.69,180.27,177.58,179.8,67690988.0,180.27,177.58,179.8,179.69,67823003.0,1.0,0.0,AAPL,XNAS,2023-08-08T00:00:00+0000
182.13,183.13,177.36,178.85,97263524.0,183.13,177.35,178.85,182.13,97576069.0,1.0,0.0,AAPL,XNAS,2023-08-07T00:00:00+0000
185.52,187.38,181.92,181.99,115799700.0,187.38,181.92,181.99,185.52,115956841.0,1.0,0.0,AAPL,XNAS,2023-08-04T00:00:00+0000
191.57,192.37,190.69,191.17,61235200.0,192.37,190.69,191.17,191.57,62243282.0,1.0,0.0,AAPL,XNAS,2023-08-03T00:00:00+0000
195.04,195.18,191.85,192.58,50241600.0,195.18,191.8507,192.58,195.04,50389327.0,1.0,0.0,AAPL,XNAS,2023-08-02T00:00:00+0000
196.24,196.73,195.28,195.61,35175100.0,196.73,195.28,195.61,196.235,35281426.0,1.0,0.0,AAPL,XNAS,2023-08-01T00:00:00+0000
196.06,196.49,195.26,196.45,38778100.0,196.49,195.26,196.45,196.06,38824113.0,1.0,0.0,AAPL,XNAS,2023-07-31T00:00:00+0000
194.67,196.63,194.14,195.83,48254600.0,196.626,194.14,195.83,194.67,48291443.0,1.0,0.0,AAPL,XNAS,2023-07-28T00:00:00+0000
196.02,197.2,192.56,193.22,47352217.0,197.2,192.55,193.22,196.02,47460180.0,1.0,0.0,AAPL,XNAS,2023-07-27T00:00:00+0000
193.67,195.64,193.32,194.5,47402800.0,195.64,193.32,194.5,193.67,47471868.0,1.0,0.0,AAPL,XNAS,2023-07-26T00:00:00+0000
193.33,194.44,192.92,193.62,37184800.0,194.44,192.915,193.62,193.33,37283201.0,1.0,0.0,AAPL,XNAS,2023-07-25T00:00:00+0000
193.41,194.91,192.29,192.75,44776111.0,194.91,192.25,192.75,193.41,45505097.0,1.0,0.0,AAPL,XNAS,2023-07-24T00:00:00+0000
194.1,194.97,191.23,191.94,71917800.0,194.97,191.23,191.94,194.1,71951683.0,1.0,0.0,AAPL,XNAS,2023-07-21T00:00:00+0000
195.09,196.47,192.5,193.13,59415700.0,196.47,192.495,193.13,195.09,59581196.0,1.0,0.0,AAPL,XNAS,2023-07-20T00:00:00+0000
193.1,198.22,192.65,195.1,77149150.0,198.23,192.65,195.1,193.1,80507323.0,1.0,0.0,AAPL,XNAS,2023-07-19T00:00:00+0000
193.35,194.33,192.415,193.73,46631931.0,194.33,192.415,193.73,193.35,48353774.0,1.0,0.0,AAPL,XNAS,2023-07-18T00:00:00+0000
191.9,194.32,191.81,193.99,49798987.0,194.32,191.81,193.99,191.9,50520159.0,1.0,0.0,AAPL,XNAS,2023-07-17T00:00:00+0000
